seed,gamma,sigma_epsilon,L,N_code,epsilon,mode,total_resources,converged,final_error,n_rounds,M_max_used,timestamp
1,0.0000000000e+00,0.0000000000e+00,1,3,6.7687500095e-03,sequential,11520,True,6.6023442559e-04,8,67,2026-05-04T07:12:19.491638
1,0.0000000000e+00,0.0000000000e+00,1,3,7.6094966855e-03,sequential,11520,True,6.6023442559e-04,8,60,2026-05-04T07:12:19.491724
1,0.0000000000e+00,0.0000000000e+00,1,3,8.5546725356e-03,sequential,11520,True,6.6023442559e-04,8,54,2026-05-04T07:12:19.491811
1,0.0000000000e+00,0.0000000000e+00,1,3,9.6172487112e-03,sequential,11520,False,1.1611611877e-02,8,48,2026-05-04T07:12:19.491903
1,0.0000000000e+00,0.0000000000e+00,1,3,1.0811807511e-02,sequential,11520,True,6.6023442559e-04,8,42,2026-05-04T07:12:19.491989
1,0.0000000000e+00,0.0000000000e+00,1,3,1.2154742501e-02,sequential,11520,True,6.6023442559e-04,8,38,2026-05-04T07:12:19.492076
1,0.0000000000e+00,0.0000000000e+00,1,3,1.3664483493e-02,sequential,5760,True,6.7961575771e-03,7,34,2026-05-04T07:12:19.492153
1,0.0000000000e+00,0.0000000000e+00,1,3,1.5361749467e-02,sequential,5760,True,1.7747535029e-02,7,30,2026-05-04T07:12:19.492226
1,0.0000000000e+00,0.0000000000e+00,1,3,1.7269832907e-02,sequential,5760,True,6.7961575771e-03,7,27,2026-05-04T07:12:19.492305
1,0.0000000000e+00,0.0000000000e+00,1,3,1.9414919457e-02,sequential,5760,True,6.7961575771e-03,7,24,2026-05-04T07:12:19.492379
1,0.0000000000e+00,0.0000000000e+00,1,3,2.1826447284e-02,sequential,5760,True,6.7961575771e-03,7,21,2026-05-04T07:12:19.492460
1,0.0000000000e+00,0.0000000000e+00,1,3,2.4537511066e-02,sequential,5760,True,6.7961575771e-03,7,19,2026-05-04T07:12:19.492537
1,0.0000000000e+00,0.0000000000e+00,1,3,2.7585316176e-02,sequential,2880,True,3.0019381332e-02,6,17,2026-05-04T07:12:19.492604
1,0.0000000000e+00,0.0000000000e+00,1,3,3.1011689266e-02,sequential,2880,True,1.9068003880e-02,6,15,2026-05-04T07:12:19.492670
1,0.0000000000e+00,0.0000000000e+00,1,3,3.4863652277e-02,sequential,2880,True,3.0019381332e-02,6,14,2026-05-04T07:12:19.492739
1,0.0000000000e+00,0.0000000000e+00,1,3,3.9194067748e-02,sequential,2880,True,1.9068003880e-02,6,12,2026-05-04T07:12:19.492807
1,0.0000000000e+00,0.0000000000e+00,1,3,4.4062364278e-02,sequential,2880,True,1.9068003880e-02,6,11,2026-05-04T07:12:19.492873
1,0.0000000000e+00,0.0000000000e+00,1,3,4.9535352090e-02,sequential,1440,True,4.3611696486e-02,5,10,2026-05-04T07:12:19.492932
1,0.0000000000e+00,0.0000000000e+00,1,3,5.5688139909e-02,sequential,1440,True,5.4563073938e-02,5,9,2026-05-04T07:12:19.492993
1,0.0000000000e+00,0.0000000000e+00,1,3,6.2605165720e-02,sequential,1440,True,4.3611696486e-02,5,8,2026-05-04T07:12:19.493054
1,0.0000000000e+00,0.0000000000e+00,1,3,7.0381355549e-02,sequential,1440,True,4.3611696486e-02,5,7,2026-05-04T07:12:19.493116
1,0.0000000000e+00,0.0000000000e+00,1,3,7.9123426190e-02,sequential,1440,True,4.3611696486e-02,5,6,2026-05-04T07:12:19.493177
1,0.0000000000e+00,0.0000000000e+00,1,3,8.8951349731e-02,sequential,1440,True,5.4563073938e-02,5,6,2026-05-04T07:12:19.493239
1,0.0000000000e+00,0.0000000000e+00,1,3,1.0000000000e-01,sequential,720,True,5.4756887260e-03,4,5,2026-05-04T07:12:19.493291
2,0.0000000000e+00,0.0000000000e+00,1,3,1.0000000000e-04,sequential,737730,False,1.0940495283e-02,14,4535,2026-05-04T07:12:19.498585
2,0.0000000000e+00,0.0000000000e+00,1,3,1.1242100351e-04,sequential,737730,True,1.0882169114e-05,14,4034,2026-05-04T07:12:19.498785
2,0.0000000000e+00,0.0000000000e+00,1,3,1.2638482029e-04,sequential,737730,True,1.0882169114e-05,14,3588,2026-05-04T07:12:19.498918
2,0.0000000000e+00,0.0000000000e+00,1,3,1.4208308325e-04,sequential,737730,True,1.0882169114e-05,14,3192,2026-05-04T07:12:19.499043
2,0.0000000000e+00,0.0000000000e+00,1,3,1.5973122801e-04,sequential,737730,True,1.0882169114e-05,14,2839,2026-05-04T07:12:19.499170
2,0.0000000000e+00,0.0000000000e+00,1,3,1.7957144944e-04,sequential,737730,True,1.0882169114e-05,14,2526,2026-05-04T07:12:19.499294
2,0.0000000000e+00,0.0000000000e+00,1,3,2.0187602547e-04,sequential,369000,True,8.4991630129e-05,13,2247,2026-05-04T07:12:19.499419
2,0.0000000000e+00,0.0000000000e+00,1,3,2.2695105367e-04,sequential,369000,False,1.1036369082e-02,13,1999,2026-05-04T07:12:19.499535
2,0.0000000000e+00,0.0000000000e+00,1,3,2.5514065200e-04,sequential,369000,True,8.4991630129e-05,13,1778,2026-05-04T07:12:19.499652
2,0.0000000000e+00,0.0000000000e+00,1,3,2.8683168133e-04,sequential,369000,True,8.4991630129e-05,13,1581,2026-05-04T07:12:19.499768
2,0.0000000000e+00,0.0000000000e+00,1,3,3.2245905453e-04,sequential,369000,True,8.4991630129e-05,13,1407,2026-05-04T07:12:19.499884
2,0.0000000000e+00,0.0000000000e+00,1,3,3.6251170500e-04,sequential,369000,False,1.1036369082e-02,13,1251,2026-05-04T07:12:19.500002
2,0.0000000000e+00,0.0000000000e+00,1,3,4.0753929659e-04,sequential,184590,False,4.9025116533e-04,12,1113,2026-05-04T07:12:19.500110
2,0.0000000000e+00,0.0000000000e+00,1,3,4.5815976691e-04,sequential,184590,True,2.7673922861e-04,12,990,2026-05-04T07:12:19.500218
2,0.0000000000e+00,0.0000000000e+00,1,3,5.1506780762e-04,sequential,184590,True,2.7673922861e-04,12,881,2026-05-04T07:12:19.500326
2,0.0000000000e+00,0.0000000000e+00,1,3,5.7904439806e-04,sequential,184590,True,2.7673922861e-04,12,784,2026-05-04T07:12:19.500438
2,0.0000000000e+00,0.0000000000e+00,1,3,6.5096752305e-04,sequential,184590,False,1.1228116681e-02,12,697,2026-05-04T07:12:19.500546
2,0.0000000000e+00,0.0000000000e+00,1,3,7.3182422191e-04,sequential,184590,True,2.7673922861e-04,12,620,2026-05-04T07:12:19.500654
2,0.0000000000e+00,0.0000000000e+00,1,3,8.2272413417e-04,sequential,92250,False,1.4272248195e-03,11,552,2026-05-04T07:12:19.500754
2,0.0000000000e+00,0.0000000000e+00,1,3,9.2491472772e-04,sequential,92340,True,1.0675596836e-04,11,491,2026-05-04T07:12:19.500854
2,0.0000000000e+00,0.0000000000e+00,1,3,1.0397984185e-03,sequential,92340,True,1.0675596836e-04,11,437,2026-05-04T07:12:19.500954
2,0.0000000000e+00,0.0000000000e+00,1,3,1.1689518165e-03,sequential,92340,True,1.0675596836e-04,11,388,2026-05-04T07:12:19.501053
2,0.0000000000e+00,0.0000000000e+00,1,3,1.3141473626e-03,sequential,92340,True,1.0675596836e-04,11,346,2026-05-04T07:12:19.501153
2,0.0000000000e+00,0.0000000000e+00,1,3,1.4773776526e-03,sequential,92340,True,1.0675596836e-04,11,307,2026-05-04T07:12:19.501253
2,0.0000000000e+00,0.0000000000e+00,1,3,1.6608827826e-03,sequential,46170,True,8.7374636230e-04,10,274,2026-05-04T07:12:19.501346
2,0.0000000000e+00,0.0000000000e+00,1,3,1.8671810913e-03,sequential,46170,True,8.7374636230e-04,10,243,2026-05-04T07:12:19.501441
2,0.0000000000e+00,0.0000000000e+00,1,3,2.0991037201e-03,sequential,46080,True,2.1942152135e-03,10,217,2026-05-04T07:12:19.501533
2,0.0000000000e+00,0.0000000000e+00,1,3,2.3598334668e-03,sequential,46170,True,8.7374636230e-04,10,193,2026-05-04T07:12:19.501627
2,0.0000000000e+00,0.0000000000e+00,1,3,2.6529484644e-03,sequential,46170,True,8.7374636230e-04,10,171,2026-05-04T07:12:19.501718
2,0.0000000000e+00,0.0000000000e+00,1,3,2.9824712862e-03,sequential,46170,True,8.7374636230e-04,10,153,2026-05-04T07:12:19.501810
2,0.0000000000e+00,0.0000000000e+00,1,3,3.3529241492e-03,sequential,23040,True,2.4077271502e-03,9,136,2026-05-04T07:12:19.501894
2,0.0000000000e+00,0.0000000000e+00,1,3,3.7693909754e-03,sequential,23040,False,8.5436503017e-03,9,121,2026-05-04T07:12:19.501977
2,0.0000000000e+00,0.0000000000e+00,1,3,4.2375871606e-03,sequential,23040,True,2.4077271502e-03,9,108,2026-05-04T07:12:19.502061
2,0.0000000000e+00,0.0000000000e+00,1,3,4.7639380104e-03,sequential,23040,True,2.4077271502e-03,9,96,2026-05-04T07:12:19.502144
2,0.0000000000e+00,0.0000000000e+00,1,3,5.3556669177e-03,sequential,23040,True,2.4077271502e-03,9,85,2026-05-04T07:12:19.502228
2,0.0000000000e+00,0.0000000000e+00,1,3,6.0208944933e-03,sequential,23040,True,2.4077271502e-03,9,76,2026-05-04T07:12:19.502313
2,0.0000000000e+00,0.0000000000e+00,1,3,6.7687500095e-03,sequential,11520,True,6.6023442559e-04,8,67,2026-05-04T07:12:19.502390
2,0.0000000000e+00,0.0000000000e+00,1,3,7.6094966855e-03,sequential,11520,True,6.6023442559e-04,8,60,2026-05-04T07:12:19.502475
2,0.0000000000e+00,0.0000000000e+00,1,3,8.5546725356e-03,sequential,11520,True,6.6023442559e-04,8,54,2026-05-04T07:12:19.502551
