seed,gamma,h,L,N_code,epsilon,total_resources,converged,final_error,n_rounds
0,0.1,0.0,2,5,0.001,248245,True,1.0907649993896484e-05,100
0,0.1,0.0,2,5,0.0013894954943731374,182750,True,1.0907649993896484e-05,100
0,0.1,0.0,2,5,0.0019306977288832496,139205,True,0.0001067817211151123,100
0,0.1,0.0,2,5,0.0026826957952797246,88195,True,0.00018084049224853516,100
0,0.1,0.0,2,5,0.003727593720314938,70750,True,0.0001067817211151123,100
0,0.1,0.0,2,5,0.005179474679231213,47285,True,0.00020265579223632812,100
0,0.1,0.0,2,5,0.0071968567300115215,36325,True,1.0907649993896484e-05,100
0,0.1,0.0,2,5,0.01,24605,True,8.496642112731934e-05,100
0,0.1,0.0,2,5,0.013894954943731374,17665,True,8.496642112731934e-05,100
0,0.1,0.0,2,5,0.019306977288832496,13545,True,0.0001067817211151123,100
0,0.1,0.0,2,5,0.026826957952797246,9320,True,0.00029852986335754395,100
0,0.1,0.0,2,5,0.037275937203149395,7535,True,0.00029852986335754395,100
0,0.1,0.0,2,5,0.0517947467923121,4545,True,0.00039440393447875977,100
0,0.1,0.0,2,5,0.07196856730011518,3660,True,0.0012354552745819092,100
0,0.1,0.0,2,5,0.1,2830,True,0.0008737444877624512,100
1,0.1,0.0,2,5,0.001,231475,True,1.0907649993896484e-05,100
1,0.1,0.0,2,5,0.0013894954943731374,188035,True,8.496642112731934e-05,100
1,0.1,0.0,2,5,0.0019306977288832496,129495,True,1.0907649993896484e-05,100
1,0.1,0.0,2,5,0.0026826957952797246,93100,True,1.0907649993896484e-05,100
1,0.1,0.0,2,5,0.003727593720314938,68190,True,0.0001067817211151123,100
1,0.1,0.0,2,5,0.005179474679231213,49040,True,0.0001067817211151123,100
1,0.1,0.0,2,5,0.0071968567300115215,35685,True,0.0001067817211151123,100
1,0.1,0.0,2,5,0.01,25750,True,0.00039440393447875977,100
1,0.1,0.0,2,5,0.013894954943731374,18215,True,0.00020265579223632812,100
1,0.1,0.0,2,5,0.019306977288832496,11890,True,0.00029852986335754395,100
1,0.1,0.0,2,5,0.026826957952797246,9380,True,0.005092203617095947,100
1,0.1,0.0,2,5,0.037275937203149395,6430,True,0.00020265579223632812,100
1,0.1,0.0,2,5,0.0517947467923121,5065,True,0.0026735663414001465,100
1,0.1,0.0,2,5,0.07196856730011518,3165,True,0.00020265579223632812,100
1,0.1,0.0,2,5,0.1,2435,True,0.0066261887550354,100
2,0.1,0.0,2,5,0.001,254610,True,1.0907649993896484e-05,100
2,0.1,0.0,2,5,0.0013894954943731374,197820,True,1.0907649993896484e-05,100
2,0.1,0.0,2,5,0.0019306977288832496,125225,True,1.0907649993896484e-05,100
2,0.1,0.0,2,5,0.0026826957952797246,94250,True,0.0001067817211151123,100
2,0.1,0.0,2,5,0.003727593720314938,65110,True,1.0907649993896484e-05,100
2,0.1,0.0,2,5,0.005179474679231213,49610,True,1.0907649993896484e-05,100
2,0.1,0.0,2,5,0.0071968567300115215,31900,True,1.0907649993896484e-05,100
2,0.1,0.0,2,5,0.01,25885,True,0.00029852986335754395,100
2,0.1,0.0,2,5,0.013894954943731374,17335,True,0.0003725886344909668,100
2,0.1,0.0,2,5,0.019306977288832496,12970,True,0.0007560849189758301,100
2,0.1,0.0,2,5,0.026826957952797246,8330,True,0.00018084049224853516,100
2,0.1,0.0,2,5,0.037275937203149395,7040,True,0.0003725886344909668,100
2,0.1,0.0,2,5,0.0517947467923121,4805,True,0.0017148256301879883,100
2,0.1,0.0,2,5,0.07196856730011518,3795,True,0.0049963295459747314,100
2,0.1,0.0,2,5,0.1,2600,True,0.002120107412338257,100
0,0.3,0.0,2,5,0.001,248245,True,8.496642112731934e-05,100
0,0.3,0.0,2,5,0.0013894954943731374,182750,True,1.0907649993896484e-05,100
0,0.3,0.0,2,5,0.0019306977288832496,139205,True,1.0907649993896484e-05,100
0,0.3,0.0,2,5,0.0026826957952797246,177925,True,0.000276714563369751,200
0,0.3,0.0,2,5,0.003727593720314938,70750,True,0.0001067817211151123,100
0,0.3,0.0,2,5,0.005179474679231213,47285,True,0.0003725886344909668,100
0,0.3,0.0,2,5,0.0071968567300115215,36325,True,0.0012572407722473145,100
0,0.3,0.0,2,5,0.01,24605,True,1.0907649993896484e-05,100
0,0.3,0.0,2,5,0.013894954943731374,17665,True,0.0010654926300048828,100
0,0.3,0.0,2,5,0.019306977288832496,13545,True,0.0012354552745819092,100
0,0.3,0.0,2,5,0.026826957952797246,9320,True,0.0009478330612182617,100
0,0.3,0.0,2,5,0.037275937203149395,7535,True,0.0004684627056121826,100
0,0.3,0.0,2,5,0.0517947467923121,4545,True,0.010365277528762817,100
0,0.3,0.0,2,5,0.07196856730011518,3660,True,0.007563143968582153,100
0,0.3,0.0,2,5,0.1,2830,True,0.013315558433532715,100
1,0.3,0.0,2,5,0.001,441070,True,1.0907649993896484e-05,200
1,0.3,0.0,2,5,0.0013894954943731374,188035,True,1.0907649993896484e-05,100
1,0.3,0.0,2,5,0.0019306977288832496,129495,True,0.00018084049224853516,100
1,0.3,0.0,2,5,0.0026826957952797246,93100,True,0.00018084049224853516,100
1,0.3,0.0,2,5,0.003727593720314938,68190,True,0.00018084049224853516,100
1,0.3,0.0,2,5,0.005179474679231213,99775,True,0.0001067817211151123,200
1,0.3,0.0,2,5,0.0071968567300115215,35685,True,0.0007778704166412354,100
1,0.3,0.0,2,5,0.01,25750,True,0.0020024478435516357,100
1,0.3,0.0,2,5,0.013894954943731374,18215,True,0.0007778704166412354,100
1,0.3,0.0,2,5,0.019306977288832496,11890,True,0.0014272034168243408,100
1,0.3,0.0,2,5,0.026826957952797246,9380,True,0.0013531148433685303,100
1,0.3,0.0,2,5,0.037275937203149395,6430,True,0.0012572407722473145,100
1,0.3,0.0,2,5,0.0517947467923121,5065,True,0.0011395812034606934,100
1,0.3,0.0,2,5,0.07196856730011518,3165,True,0.06652551889419556,100
1,0.3,0.0,2,5,0.1,2435,True,0.005549788475036621,100
2,0.3,0.0,2,5,0.001,254610,True,1.0907649993896484e-05,100
2,0.3,0.0,2,5,0.0013894954943731374,376185,True,1.0907649993896484e-05,200
2,0.3,0.0,2,5,0.0019306977288832496,125225,True,1.0907649993896484e-05,100
2,0.3,0.0,2,5,0.0026826957952797246,94250,True,0.00020265579223632812,100
2,0.3,0.0,2,5,0.003727593720314938,65110,True,8.496642112731934e-05,100
2,0.3,0.0,2,5,0.005179474679231213,96290,True,0.0001067817211151123,200
