seed,gamma,h,L,N_code,epsilon,mode,total_resources,converged,final_error,n_accepted,n_rejected,acceptance_rate,n_syndrome_used,mean_d,timestamp
2,1.0000000000e-02,0.0000000000e+00,1,3,2.3598334668e-03,error_detected,60729,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:48.293260
2,1.0000000000e-02,0.0000000000e+00,1,3,2.6529484644e-03,error_detected,57867,True,8.4966421127e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:48.342554
2,1.0000000000e-02,0.0000000000e+00,1,3,2.9824712862e-03,error_detected,2894355,True,1.0907649994e-05,5700,8,9.9859845830e-01,0,0.0000000000e+00,2026-04-29T19:58:49.908502
2,1.0000000000e-02,0.0000000000e+00,1,3,3.3529241492e-03,error_detected,89607,True,1.0907649994e-05,200,1,9.9502487562e-01,0,0.0000000000e+00,2026-04-29T19:58:49.997232
2,1.0000000000e-02,0.0000000000e+00,1,3,3.7693909754e-03,error_detected,1600560,True,1.0907649994e-05,4000,10,9.9750623441e-01,0,0.0000000000e+00,2026-04-29T19:58:51.102541
2,1.0000000000e-02,0.0000000000e+00,1,3,4.2375871606e-03,error_detected,40989,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:51.149901
2,1.0000000000e-02,0.0000000000e+00,1,3,4.7639380104e-03,error_detected,64287,True,1.5470385551e-04,200,1,9.9502487562e-01,0,0.0000000000e+00,2026-04-29T19:58:51.236535
2,1.0000000000e-02,0.0000000000e+00,1,3,5.3556669177e-03,error_detected,4232691,True,1.0907649994e-05,15100,24,9.9841311822e-01,0,0.0000000000e+00,2026-04-29T19:58:55.232749
2,1.0000000000e-02,0.0000000000e+00,1,3,6.0208944933e-03,error_detected,71217,True,1.3291835785e-04,300,1,9.9667774086e-01,0,0.0000000000e+00,2026-04-29T19:58:55.345657
2,1.0000000000e-02,0.0000000000e+00,1,3,6.7687500095e-03,error_detected,22020,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:55.394074
2,1.0000000000e-02,0.0000000000e+00,1,3,7.6094966855e-03,error_detected,19977,True,3.7044286728e-05,100,1,9.9009900990e-01,0,0.0000000000e+00,2026-04-29T19:58:55.442551
2,1.0000000000e-02,0.0000000000e+00,1,3,8.5546725356e-03,error_detected,17562,True,3.4645199776e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:55.487391
2,1.0000000000e-02,0.0000000000e+00,1,3,9.6172487112e-03,error_detected,13137,True,2.5057792664e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:55.535773
2,1.0000000000e-02,0.0000000000e+00,1,3,1.0811807511e-02,error_detected,6994878,False,1.0470490456e+00,49913,87,9.9826000000e-01,0,0.0000000000e+00,2026-04-29T19:59:08.701012
2,1.0000000000e-02,0.0000000000e+00,1,3,1.2154742501e-02,error_detected,11730,True,3.7044286728e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:08.745800
2,1.0000000000e-02,0.0000000000e+00,1,3,1.3664483493e-02,error_detected,11802,True,2.7671456337e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:08.791303
2,1.0000000000e-02,0.0000000000e+00,1,3,1.5361749467e-02,error_detected,396945,True,2.2879242897e-04,4000,7,9.9825305715e-01,0,0.0000000000e+00,2026-04-29T19:59:09.802980
2,1.0000000000e-02,0.0000000000e+00,1,3,1.7269832907e-02,error_detected,42630,True,1.0907649994e-05,500,2,9.9601593625e-01,0,0.0000000000e+00,2026-04-29T19:59:09.950095
2,1.0000000000e-02,0.0000000000e+00,1,3,1.9414919457e-02,error_detected,125745,True,8.4966421127e-05,1600,5,9.9688473520e-01,0,0.0000000000e+00,2026-04-29T19:59:10.376482
2,1.0000000000e-02,0.0000000000e+00,1,3,2.1826447284e-02,error_detected,106365,True,1.0907649994e-05,1500,2,9.9866844208e-01,0,0.0000000000e+00,2026-04-29T19:59:10.786521
